EnvBioelement-fam	EnvBioelement-category	microtrait-hmm-name
arsC	arsenic	arsC
glutathione-glutaredoxin_type	arsenic	arsC2
thioredoxin	arsenic	arsC2
arsenite_oxidase_large	arsenic	aoxB
arsenite_oxidase_small	arsenic	aoxA
fae	C1Compounds	fae-hps
fdh_thiol-independent_type	C1Compounds	fdhA
formylmethanofuran-tetrahyromethanopterin_formyltransferase	C1Compounds	ftr
methenyltetrahydromethanopterin_cyclohydrolase	C1Compounds	mtdch
S--hydroxymethyl-glutathione_dehydrogenase	C1Compounds	frmA
S-formylglutathione_hydrolase	C1Compounds	frmB
S-hydroxymethyl-mycothiol_dehydrogenase	C1Compounds	E1.1.1.306
formate_dehydrogenase_alpha_subunit	C1Compounds	fdh.NADP+A
formate_dehydrogenase_beta_subunit	C1Compounds	fdh.NADP+B
formate_dehydrogenase_gamma_subunit	C1Compounds	fdoI
NDMA-dependent_methanol_dehydrogenase	C1Compounds	mdo
pqq	C1Compounds	pqqC
madA	C1Compounds	mauA
madB	C1Compounds	mauB
rubisco_form_I	CarbonFixation	rbcS;rbcL
rubisco_form_II	CarbonFixation	rbcS;rbcL
rubisco_form_II-III	CarbonFixation	rbcS;rbcL
rubisco_form_III	CarbonFixation	rbcS;rbcL
aclA	CarbonFixation	aclA
aclB	CarbonFixation	aclB
codh_catalytic	CarbonFixation	cooS
codhC_beta	CarbonFixation	cdhC
codhD_delta	CarbonFixation	acsD
coxL	CarbonMonoxide	coxL
coxM	CarbonMonoxide	coxM
coxS	CarbonMonoxide	coxS
Chlorite_dismutase	HalogenatedCompounds	cld
Haloacid_dehydrogenase	HalogenatedCompounds	E3.8.1.2
Reductive_dehalogenase	HalogenatedCompounds	pceA
pcrA	HalogenatedCompounds	-
pcrB	HalogenatedCompounds	-
Hydrogenase_Group_A	Hydrogen	hydrogenase_FeFeGroupA1;hydrogenase_FeFeGroupA2;hydrogenase_FeFeGroupA3;hydrogenase_FeFeGroupA4
Hydrogenase_Group_B1-B3	Hydrogen	hydrogenase_FeFeGroupB
