microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
pslD	1.B.18	K20987	polysaccharide biosynthesis/export protein PslD
kdgM	1.B.35.1;1.B.35.2	K22110	oligogalacturonate-specific porin family protein
nisA	1.C.20	K20482	lantibiotic bacteriocin
mntP	2.A.107	K23242	manganese efflux pump family protein
mexN	2.A.6.2.35	K21133	multidrug efflux pump
mmpL11	2.A.6.5.5	K20466	heme transporter
tc2.A.86.1.7	2.A.86.1.7	K20469	putative heme transporter
nisE	3.A.1.124.1;3.A.1.124.2;3.A.1.124.6	K20491	lantibiotic transport system permease protein
nisF	3.A.1.124.1;3.A.1.124.2;3.A.1.124.6	K20490	lantibiotic transport system ATP-binding protein
nisG	3.A.1.124.1;3.A.1.124.2;3.A.1.124.6	K20492	lantibiotic transport system permease protein
nukE	3.A.1.124.3;3.A.1.124.4;3.A.1.124.5	K20460	lantibiotic transport system permease protein
nukF	3.A.1.124.3;3.A.1.124.4;3.A.1.124.5	K20459	lantibiotic transport system ATP-binding protein
nukG	3.A.1.124.3;3.A.1.124.4;3.A.1.124.5	K20461	lantibiotic transport system permease protein
fepB	3.A.1.14.2;3.A.1.14.6	K23185	ferric enterobactin transport system substrate-binding protein
fepC	3.A.1.14.2;3.A.1.14.6	K23188	ferric enterobactin transport system ATP-binding protein
fepD	3.A.1.14.2;3.A.1.14.6	K23186	ferric enterobactin transport system permease protein
fepG	3.A.1.14.2;3.A.1.14.6	K23187	ferric enterobactin transport system permease protein
fhuB	3.A.1.14.3;3.A.1.14.12	K23228	ferric hydroxamate transport system permease protein
fhuD	3.A.1.14.3;3.A.1.14.12	K23227	ferric hydroxamate transport system substrate-binding protein
mntA2	3.A.1.15.15	K19973	manganese transport system ATP-binding protein
mntB2	3.A.1.15.15	K19976	manganese transport system permease protein
mntC2	3.A.1.15.15	K19975	manganese transport system substrate-binding protein
psaA	3.A.1.15.2;3.A.1.15.14	K19971	manganese/zinc transport system substrate-binding protein
psaC	3.A.1.15.2;3.A.1.15.14	K19972	manganese/zinc transport system permease protein
lhpM	3.A.1.3.21	K23062	hydroxyproline transport system permease protein
lhpN	3.A.1.3.21	K23063	hydroxyproline transport system permease protein
lhpO	3.A.1.3.21	K23064	hydroxyproline transport system ATP-binding protein
malEIIB	4.A.1.1.11;4.A.1.1.12	K20107	maltose PTS system EIICB or EIICBA component
malEIIC	4.A.1.1.11;4.A.1.1.12	K20108	maltose PTS system EIICB or EIICBA component
glc2EIIA	4.A.1.1.9;4.A.1.1.13;4.A.1.1.14	K20116	PTS system, glucose-specific IIA component
glc2EIIB	4.A.1.1.9;4.A.1.1.13;4.A.1.1.14	K20117	PTS system, glucose-specific IIB component
glc2EIIC	4.A.1.1.9;4.A.1.1.13;4.A.1.1.14	K20118	glucose PTS system EIICBA or EIICB component
cys	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	K23163	sulfate/thiosulfate transport system substrate-binding protein 
zmS	3.A.1.15	K02077	zinc/manganese transport system substrate-binding protein
zmP	3.A.1.15	K02075	zinc/manganese transport system permease protein
zmA	3.A.1.15	K02074	zinc/manganese transport system ATP-binding protein
zntB	1.A.35.4	K16074	zinc transporter
znuA	3.A.1.15.3;3.A.1.15.5;3.A.1.15.11;3.A.1.15.13;3.A.1.15.18	K09815	zinc transport system substrate-binding protein
znuB	3.A.1.15.3;3.A.1.15.5;3.A.1.15.11;3.A.1.15.13;3.A.1.15.18	K09816	zinc transport system permease protein
znuC	3.A.1.15.3;3.A.1.15.5;3.A.1.15.11;3.A.1.15.13;3.A.1.15.18	K09817	zinc transport system ATP-binding protein [EC:3.6.3.-]
zipB	2.A.5.4.11	K16267	zinc and cadmium transporter
